name,hotel_url,adresse,rang,nbr_avis,note,prix
Hotel des Bains,https://www.booking.com/hotel/fr/des-bains-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-12&checkout=2024-04-13&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=179497501_356922454_2_10_0&highlighted_blocks=179497501_356922454_2_10_0&matching_block_id=179497501_356922454_2_10_0&sr_pri_blocks=179497501_356922454_2_10_0__10720&from=searchresults#hotelTmpl,"
33 Rue Delambre, 14e arr., 75014 Paris, France
", Bien bien, · 1 823 expériences vécues,Avec une note de 7.6,"
€ 107
"
Hotel De La Poste,https://www.booking.com/hotel/fr/de-la-poste-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=112992002_88551693_2_2_0&highlighted_blocks=112992002_88551693_2_2_0&matching_block_id=112992002_88551693_2_2_0&sr_pri_blocks=112992002_88551693_2_2_0__6625&from=searchresults#hotelTmpl,"
94 rue Riquet, 18e arr., 75018 Paris, France
", Agréableagréable, · 3 027 expériences vécues,Avec une note de 6,"
€ 66
"
ibis Paris Alesia Montparnasse,https://www.booking.com/hotel/fr/ibis-paris-alesia-montparnasse.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-12&checkout=2024-04-13&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=54540803_94489634_2_2_0&highlighted_blocks=54540803_94489634_2_2_0&matching_block_id=54540803_94489634_2_2_0&sr_pri_blocks=54540803_94489634_2_2_0__11155&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
49 rue des Plantes, 14e arr., 75014 Paris, France
", Bien bien, · 3 486 expériences vécues,Avec une note de 7.5,"
€ 112
"
Printania Porte de Versailles,https://www.booking.com/hotel/fr/printaniasaphir.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=5077702_113228635_0_2_0&highlighted_blocks=5077702_113228635_0_2_0&matching_block_id=5077702_113228635_0_2_0&sr_pri_blocks=5077702_113228635_0_2_0__7650&from=searchresults#hotelTmpl,"
55, rue Olivier de Serres, 15e arr., 75015 Paris, France
", Passablebon, · 1 335 expériences vécues,Avec une note de 5.7,"
€ 77
"
Hotel de l'Europe,https://www.booking.com/hotel/fr/de-l-europe-paris2.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=47040816_363856671_2_2_0&highlighted_blocks=47040816_363856671_2_2_0&matching_block_id=47040816_363856671_2_2_0&sr_pri_blocks=47040816_363856671_2_2_0__8450&from=searchresults#hotelTmpl,"
35 rue du Père Corentin, 14e arr., 75014 Paris, France
", Agréableagréable, · 2 479 expériences vécues,Avec une note de 6.4,"
€ 85
"
Hotel du Globe 18,https://www.booking.com/hotel/fr/du-globe-18.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-05&checkout=2024-04-06&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=177161304_90915250_0_2_0&highlighted_blocks=177161304_90915250_0_2_0&matching_block_id=177161304_90915250_0_2_0&sr_pri_blocks=177161304_90915250_0_2_0__7850&from=searchresults#hotelTmpl,"
5 rue Ernestine, 18e arr., 75018 Paris, France
", Agréableagréable, · 930 expériences vécues,Avec une note de 6.3,"
€ 79
"
Hôtel Clauzel Paris,https://www.booking.com/hotel/fr/clauzel.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-05&checkout=2024-04-06&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=24248202_91913959_0_2_0&highlighted_blocks=24248202_91913959_0_2_0&matching_block_id=24248202_91913959_0_2_0&sr_pri_blocks=24248202_91913959_0_2_0__11150&from=searchresults#hotelTmpl,"
33 Rue Des Martyrs, 9e arr., 75009 Paris, France
", Bien bien, · 2 861 expériences vécues,Avec une note de 7.5,"
€ 112
"
Résidence de Bourgogne,https://www.booking.com/hotel/fr/residence-de-bourgogne-paris1234567891011121314151617.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-05&checkout=2024-04-06&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=775495604_338855076_0_42_0&highlighted_blocks=775495604_338855076_0_42_0&matching_block_id=775495604_338855076_0_42_0&sr_pri_blocks=775495604_338855076_0_42_0__10330&from=searchresults#hotelTmpl,"
15 Rue du Faubourg Saint-Martin, 10e arr., 75010 Paris, France
", Agréableagréable, · 1 180 expériences vécues,Avec une note de 6.7,"
€ 103
"
Hotel Mimosa Paris,https://www.booking.com/hotel/fr/ha-tel-mimosa.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-05&checkout=2024-04-06&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=49726001_348351117_0_2_0&highlighted_blocks=49726001_348351117_0_2_0&matching_block_id=49726001_348351117_0_2_0&sr_pri_blocks=49726001_348351117_0_2_0__11410&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
16 rue du Faubourg Saint-Martin, 10e arr., 75010 Paris, France
", Bien bien, · 2 101 expériences vécues,Avec une note de 7.4,"
€ 114
"
ibis Paris Avenue d'Italie 13ème,https://www.booking.com/hotel/fr/ibis-avenue-d-italie.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-12&checkout=2024-04-13&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=4571004_94267510_2_2_0&highlighted_blocks=4571004_94267510_2_2_0&matching_block_id=4571004_94267510_2_2_0&sr_pri_blocks=4571004_94267510_2_2_0__12535&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
15, Bis Avenue d'Italie, 13e arr., 75013 Paris, France
", Bien bien, · 3 974 expériences vécues,Avec une note de 7.6,"
€ 125
"
Bastille Hostel,https://www.booking.com/hotel/fr/bastille-hostel.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=55d558c694ec00d5&srepoch=1711543054&all_sr_blocks=320821103_114283137_0_1_0&highlighted_blocks=320821103_114283137_0_1_0&matching_block_id=320821103_114283137_0_1_0&sr_pri_blocks=320821103_114283137_0_1_0__6475&from=searchresults#hotelTmpl,"
6 Rue Trousseau, 11e arr., 75011 Paris, France
", Passablebon, · 1 316 expériences vécues,Avec une note de 5.9,"
€ 65
"
