name,hotel_url,note,prix,rang,nbr_avis,adresse
hotelF1 Paris Porte de ChâtillonUne nouvelle fenêtre va s'ouvrir,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
",,,
hotelF1 Paris Porte de ChâtillonUne nouvelle fenêtre va s'ouvrir,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
",,,
,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
",,,
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"<div class=""a3b8729ab1 d86cee9b25"">7,3<div class=""ac4a7896c7"">Avec une note de 7.3</div></div>","
€ 52
",,,
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
",,,
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
", Bien bien,"<span class=""a3b8729ab1 f45d8e4c32 d935416c47""> · <!-- -->14 970 expériences vécues</span>",
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
", Bien bien, · 14 970 expériences vécues,
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
", Bien bien, · 14 970 expériences vécues,
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
", Bien bien, · 14 970 expériences vécues,"
21/23 Avenue de la Porte de Châtillon, 14e arr., 75014 Paris, France
"
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee64a7daa240280&srepoch=1711535741&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3Avec une note de 7.3","
€ 52
", Bien bien, · 14 970 expériences vécues,"
21/23 Avenue de la Porte de Châtillon, 14e arr., 75014 Paris, France
"
